,AGE,S1,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Ward,AcornTypeCode,Q3_Full-Time Student,Q3_Registered Unemployed (Job Seeker's Allowance),Q3_Retired,Q3_Unemployed due to ill health,"Q3_Unemployed, Not Registered-Seeking Work",Q3_Working - Full Time (30+ HRS),Q3_Working - Part Time (8 - 29 HRS),Q4_(Refused),Q4_Any - Other White background (type in),Q4_Asian or Asian British - Any other Asian Background (type in),Q4_Asian or Asian British - Bangladeshi,Q4_Asian or Asian British - Chinese ,Q4_Asian or Asian British - Indian,Q4_Asian or Asian British - Pakistani,Q4_Black or Black British -  Caribbean,Q4_Black or Black British - African ,Q4_Black or Black British - Any other black background (type in),Q4_Mixed - White and Black - African,Q4_Mixed - White and Black - Caribbean,Q4_Other Ethnic groups - Any other background (type in),Q4_Other Ethnic groups - Arab,Q4_White - Eastern European  (type in),Q4_White - Irish,Q4_White - Western European,Number of Council Services accessed,Information about public services,Q12 Online,Q12 Offline,Usefulness of offline publication,Q22_Live Here Rent Free,Q22_Owns Outright,Q22_Owns With A Mortgage Or Loan,Q22_Part Owns And Part Rents (shared Ownership),Q22_Rents (With Or Without Housing Benefit),Q22_Rents A Room In A Shared Property,Financial Worry
736,0.5,1.0,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.6,0.6,0.4,0.25,1.0,0.16666666666666666,0.125,0.05555555555555555,0.0,1.0,0.75,0.75,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.7777777777777778,0.7,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
563,0.2872340425531915,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.375,,0.3333333333333333,0.08333333333333333,0.0,0.0,1.0,0.75,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.45,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,0.23404255319148937,0.0,1.0,0.6,0.2,1.0,,0.6,,,,0.4,0.25,1.0,1.0,0.16666666666666666,0.0,0.0,1.0,0.9166666666666666,0.75,0.8333333333333334,0.25,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,1.0,1.0,0.0,0.8709677419354839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
175,0.44680851063829785,0.0,0.4,0.6,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.4,0.25,0.5,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,1.0,0.75,0.75,0.75,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.0,0.7777777777777778,0.55,0.27419354838709675,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.25
93,0.39361702127659576,1.0,0.6,0.4,0.8,0.4,0.6,0.6,0.4,0.4,0.8,0.6,0.25,0.5,0.5,0.125,0.0,1.0,1.0,0.8333333333333334,0.75,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666666,0.05,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.55,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.5
138,0.44680851063829785,1.0,1.0,1.0,0.2,0.2,0.2,0.6,1.0,1.0,1.0,0.2,0.125,1.0,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.0,1.0,0.75,0.8333333333333334,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.5555555555555556,0.5,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,0.1702127659574468,0.0,0.6,1.0,0.8,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.8333333333333334,0.16666666666666666,0.0,0.0,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9166666666666666,1.0,1.0,1.0,0.5,0.0,0.6666666666666666,0.5,0.8709677419354839,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.5
515,0.6063829787234043,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.375,1.0,0.16666666666666666,0.16666666666666666,0.027777777777777776,0.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.95,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
441,0.425531914893617,1.0,1.0,1.0,0.8,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.375,1.0,0.5,0.08333333333333333,0.027777777777777776,0.0,1.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.9,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170,0.43617021276595747,1.0,0.6,0.6,0.4,0.6,0.6,0.6,0.6,0.4,0.6,0.6,0.25,0.5,0.3333333333333333,0.041666666666666664,0.0,0.0,1.0,0.8333333333333334,0.75,0.75,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.7777777777777778,0.55,0.27419354838709675,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
184,0.8829787234042553,1.0,1.0,0.8,,0.8,0.4,1.0,0.8,1.0,0.8,1.0,0.125,1.0,0.5,0.041666666666666664,0.0,0.0,0.6666666666666666,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,0.6,0.27419354838709675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.5833333333333333,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.125
345,0.5425531914893617,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,0.5,0.08333333333333333,0.0,0.0,1.0,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.7777777777777778,0.15,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
768,0.6382978723404256,0.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.375,0.75,0.5,0.041666666666666664,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.15,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.25,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.125
999,0.3723404255319149,1.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.75,0.3333333333333333,0.125,0.027777777777777776,0.0,1.0,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.95,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0
637,0.5425531914893617,0.0,1.0,1.0,,1.0,0.2,1.0,0.6,0.6,0.8,1.0,0.25,1.0,0.5,0.041666666666666664,0.0,0.0,0.3333333333333333,0.25,0.08333333333333333,0.9166666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,1.0,0.8,0.8709677419354839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0
738,0.5106382978723404,0.0,0.2,0.6,0.4,0.6,0.4,0.6,0.4,0.4,0.6,0.6,0.25,0.75,0.16666666666666666,0.125,0.05555555555555555,0.0,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.25,0.8870967741935484,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
688,0.7021276595744681,1.0,1.0,0.8,,0.8,0.4,0.6,0.8,0.8,0.8,0.8,0.125,0.75,0.3333333333333333,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.75,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5555555555555556,0.85,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8125,0.0,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
915,0.5,1.0,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.125,0.75,0.16666666666666666,0.08333333333333333,0.05555555555555555,0.0,1.0,0.75,0.75,0.75,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.65,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5625,0.5,0.5,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
953,0.44680851063829785,0.0,1.0,0.8,0.6,0.6,0.6,1.0,0.8,0.8,0.8,0.8,0.25,1.0,0.3333333333333333,0.16666666666666666,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.65,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.85,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
549,0.2553191489361702,0.0,0.4,0.4,1.0,1.0,0.6,0.6,0.6,0.2,0.4,0.6,0.125,1.0,0.5,0.125,0.0,0.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.2,0.25806451612903225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.25,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
705,0.2553191489361702,1.0,0.2,1.0,0.2,1.0,0.2,0.2,0.6,0.2,0.8,0.2,0.125,1.0,0.3333333333333333,0.08333333333333333,0.0,0.0,1.0,0.75,0.6666666666666666,0.5833333333333334,0.25,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.75,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.25,0.8333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,0.3829787234042553,0.0,0.8,0.8,0.6,0.8,0.4,0.6,0.6,0.8,0.8,0.8,0.25,1.0,0.5,0.125,0.0,0.0,1.0,0.75,0.6666666666666666,0.5833333333333334,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5555555555555556,0.25,0.8870967741935484,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.25
447,0.6382978723404256,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.25,0.75,0.3333333333333333,0.125,0.0,0.0,1.0,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5555555555555556,0.9,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0
408,0.8723404255319149,1.0,0.4,0.4,,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.375,0.5,0.3333333333333333,0.041666666666666664,0.0,0.0,1.0,0.5833333333333334,0.5833333333333334,0.5,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.0,0.8888888888888888,0.05,0.24193548387096775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
328,,1.0,0.8,1.0,0.8,1.0,,0.8,0.8,0.8,0.8,0.8,0.25,0.5,0.3333333333333333,0.16666666666666666,,0.0,1.0,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,1.0,0.8888888888888888,0.35,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.25,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
251,0.40425531914893614,1.0,0.8,0.8,0.8,0.8,0.8,0.4,0.6,0.4,0.6,0.6,0.25,0.75,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.0,1.0,0.75,0.75,0.75,0.08333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.55,0.9838709677419355,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.85,0.25,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,0.2127659574468085,1.0,0.2,0.6,,0.2,,0.2,0.2,0.6,0.2,0.6,0.125,1.0,0.16666666666666666,0.20833333333333334,0.0,0.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.05,0.25806451612903225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1018,0.5319148936170213,0.0,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.25,1.0,0.3333333333333333,0.08333333333333333,0.0,0.0,1.0,0.75,0.75,0.5833333333333334,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.95,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
204,0.2553191489361702,0.0,1.0,0.8,0.8,0.8,0.2,0.6,0.6,1.0,1.0,0.8,0.5,0.75,0.16666666666666666,0.125,0.0,0.0,1.0,0.75,0.75,0.75,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.3,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
300,0.3191489361702128,0.0,0.2,0.4,0.4,0.8,,0.6,0.8,0.8,0.8,0.6,0.25,0.75,0.16666666666666666,0.041666666666666664,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.4444444444444444,0.05,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
813,0.6170212765957447,0.0,1.0,1.0,0.6,0.6,0.8,0.2,0.2,0.2,0.2,0.2,0.125,1.0,0.3333333333333333,0.08333333333333333,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.45,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
860,,0.0,1.0,0.8,1.0,1.0,,0.8,1.0,0.8,0.8,0.8,0.125,0.5,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.0,1.0,0.75,0.75,0.75,0.4166666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.4,0.8709677419354839,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.5
382,0.2978723404255319,0.0,0.4,0.4,,,0.2,0.2,0.2,0.2,0.2,0.2,0.125,0.5,0.3333333333333333,0.08333333333333333,0.0,0.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.3333333333333333,0.6,0.24193548387096775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
698,0.6063829787234043,1.0,1.0,0.8,1.0,0.8,1.0,1.0,0.8,1.0,0.6,0.4,0.125,1.0,0.5,0.125,0.0,0.0,1.0,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.2,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.25,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.125
960,0.2553191489361702,1.0,0.8,0.8,,0.8,0.6,0.6,0.6,0.8,0.8,0.8,0.125,1.0,0.5,0.16666666666666666,0.0,0.0,1.0,0.75,0.75,0.75,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.0,0.5555555555555556,0.65,0.25806451612903225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.125
320,0.2553191489361702,0.0,0.6,0.8,1.0,0.8,0.4,0.4,0.8,0.6,0.8,0.2,0.25,0.75,0.3333333333333333,0.125,0.0,0.0,1.0,0.5,0.5,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.4444444444444444,0.1,0.24193548387096775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
65,0.3829787234042553,0.0,0.6,0.6,0.2,0.6,0.2,0.4,0.6,0.2,0.6,0.2,0.25,0.75,0.3333333333333333,0.125,0.027777777777777776,0.0,1.0,0.9166666666666666,0.75,0.8333333333333334,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.3,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.25,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
609,0.6808510638297872,1.0,1.0,1.0,,0.8,0.4,0.8,1.0,1.0,0.8,0.8,0.125,1.0,0.3333333333333333,0.041666666666666664,0.0,0.0,1.0,0.8333333333333334,0.75,0.75,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.1,0.8709677419354839,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.75,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
737,0.2872340425531915,1.0,0.8,0.6,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.6,0.25,0.75,0.16666666666666666,0.25,0.027777777777777776,0.0,1.0,0.8333333333333334,0.8333333333333334,0.75,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.25,0.8870967741935484,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0
726,0.6595744680851063,0.0,0.6,0.6,0.8,0.6,0.8,0.4,0.6,0.4,0.6,0.4,0.375,0.75,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,1.0,0.75,0.8333333333333334,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.7,0.8709677419354839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.25,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0
967,,1.0,1.0,0.8,1.0,0.8,1.0,0.8,1.0,1.0,0.8,0.8,0.375,0.5,0.6666666666666666,0.08333333333333333,0.0,0.0,1.0,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,1.0,0.8888888888888888,0.8,0.8709677419354839,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.45,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.25
